rank,app_id,title
1,com.superpixel.undyinghero,"불사용사 키우기 : 방치형 RPG"
2,com.end9games.aow37ggl,"이것이 삼국지다-1,500뽑기 증정"
3,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
4,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
5,com.blackdust.redblue,"냥찍 히어로즈 : 방치형 RPG"
6,com.mocacorp.tile,"타일 킹 - 트리플 매치"
7,com.nianticlabs.pokemongo,"Pokémon GO"
8,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
9,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
10,com.mocacorp.sudoku,"스도쿠"
11,com.mobirix.ldwm,"수박 만들기 2048"
12,jp.pokemon.pokemonchampions,"Pokémon Champions"
13,com.roblox.client,"로블록스 (Roblox)"
14,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
15,com.ekkorr.ef2,"오늘도 환생 2 : 방치형 디펜스 RPG"
16,com.block.juggle,"블록 블라스트 (Block Blast)"
17,com.Chillgaming.oneState,"OneState RP: 온라인 롤플레잉"
18,com.Gameplete.CardFantasy,"트리플 판타지 : 카드 전략 수집형 RPG"
19,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
20,com.fatmerge.global,"테이스티 트레블: 합성 게임"
21,pics.karaage.damekoico,"나쁜 사랑 - 다크한 남친 컬렉션"
22,com.noriworks.kg,"국민 고스톱"
23,com.naddic.bbhero,"별별히어로 : RPG 맛집"
24,jp.co.ponos.battlecatskr,"냥코 대전쟁"
25,com.run.tower.defense,"킹샷:Kingshot"
26,com.nexon.fmk,"FC 모바일"
27,com.daerigame.rellion,"렐리온: NPC들의 생존기"
28,com.haegin.kbo,"2026 프로야구GO!"
29,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
30,com.kr.lfhsgp,"그레이 사가"
31,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
32,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
33,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
34,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
35,com.nebula.mahjongtile,"마작 블래스트 (Mahjong Blast)"
36,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
37,com.bhk.newslgkr,"삼국지: 천하결전"
38,com.dreamgames.royalkingdom,"로얄 킹덤 (Royal Kingdom)"
39,com.phs.global,"라스트 어사일럼: 페스트"
40,com.supercell.brawlstars,"브롤스타즈"
41,com.funplus.ts.global,"타일 서바이벌"
42,com.dlw.kr.google,"시티 데몬헌터즈: 각성자들"
43,com.hollywood.merge,"할리우드 머지"
44,com.gamedots.seasideescape,"씨사이드 익스케이프: 합성 & 스토리 게임"
45,com.warrior.screw.gp,"나사 풀기 대작전"
46,com.king.candycrushsaga,"캔디크러쉬사가 (Candy Crush Saga)"
47,net.gameduo.gv,"캣 히어로 : 방치형 RPG"
48,com.dreamgames.royalmatch,"로얄 매치 Royal Match"
49,com.nexon.ma,"메이플 키우기"
50,com.youmusic.magictiles,"매직 타일 3: 피아노 게임 케이팝 노래"
51,com.xman.kr.gp,"X 클래시"
52,com.playrix.township,"꿈의 마을 (Township)"
53,com.unept.leveldevil,"Level Devil - NOT A Troll Game"
54,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
55,com.wood.block.sudoku.puzzle.bm,"Block Crush: 블록블라스트 퍼즐게임"
56,com.gof.global,"WOS: 화이트아웃 서바이벌"
57,com.highbrow.games.dvo,"드래곤빌리지3"
58,com.abi.colony.flow,"Colony Flow"
59,com.cola.game,"핫레스토랑: 머지&쿠킹"
60,com.sled.surfers.game,"Sled Surfers  - 슬로프 어드벤처"
61,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
62,com.su.kg3.gb,"포춘 헌터: 골든 사가"
63,com.epicoro.castleclashers,"Castle Busters"
64,sorting.games.goods.sort.triple.match3d.puzzle.stuff,"상품 분류 게임: 3D 퍼즐"
65,com.xmh.rpg.kr.an,"스카이 어비스: 혈맹의 서약"
66,word.games.puzzle.offline.games,"낱말퀴즈-단어&단어게임&두뇌 훈련&현실적인 게임"
